split,xml,img,issue,detail
TRAIN,270412tglr-wild-strawberry-flowers-and-leaf-patch.xml,270412tglr-wild-strawberry-flowers-and-leaf-patch.jpg,empty_xml,无 object
TRAIN,aquilegia-powdery-mildew-erysiphe-aquilegiae-on-columbine-leaves-bga5xr.xml,aquilegia-powdery-mildew-erysiphe-aquilegiae-on-columbine-leaves-bga5xr.jpg,empty_xml,无 object
TRAIN,Black+Raspberry+Leaves+3.xml,Black+Raspberry+Leaves+3.jpg,empty_xml,无 object
TRAIN,Downy%20mildew.JPG.xml,Downy%20mildew.JPG.jpg,empty_xml,无 object
TRAIN,Hydrangea+%2527Claudie%2527%252C+Powdery+Mildew.JPG.xml,Hydrangea+%2527Claudie%2527%252C+Powdery+Mildew.JPG.jpg,empty_xml,无 object
TRAIN,pm1_600px.xml,pm1_600px.jpg,empty_xml,无 object
TRAIN,powdery-mildew-erysiphe-plantani-on-young-sycamore-leaf-b372wn.xml,powdery-mildew-erysiphe-plantani-on-young-sycamore-leaf-b372wn.jpg,empty_xml,无 object
TRAIN,raspberries.xml,raspberries.jpg,empty_xml,无 object
TRAIN,raspberry-db.xml,raspberry-db.jpg,empty_xml,无 object
TRAIN,tomato_D4a-TobRingspotVirus-1000077_zoom.xml,tomato_D4a-TobRingspotVirus-1000077_zoom.jpg,empty_xml,无 object
TEST,squashsilver2.JPG.xml,squashsilver2.JPG.jpg,empty_xml,无 object
TRAIN,NCLB.xml,NCLB.jpg,missing_image,XML 无对应图片
TRAIN,powdery-mildew-on-squash-leaves.xml,powdery-mildew-on-squash-leaves.jpg,missing_image,XML 无对应图片
TRAIN,2f73110f80014a25a53f9551c94bf164.png.xml,2f73110f80014a25a53f9551c94bf164.png.jpg,xml_size_zero,xml size=0x0
TRAIN,ppth-friskop-1-corn-rust.png.xml,ppth-friskop-1-corn-rust.png.jpg,xml_size_zero,xml size=0x0
TRAIN,southernrust1.png.xml,southernrust1.png.jpg,xml_size_zero,xml size=0x0
TRAIN,SouthernRustLeaf.png.xml,SouthernRustLeaf.png.jpg,xml_size_zero,xml size=0x0
TRAIN,early-blight-1-la_potatoleaf.xml,early-blight-1-la_potatoleaf.jpg,size_mismatch,xml=590x443 actual=600x894 (将以实际尺寸归一化)
TRAIN,Early-blight-example.ashx_mw=250.xml,Early-blight.jpg,size_mismatch,xml=640x480 actual=598x332 (将以实际尺寸归一化)
TRAIN,Fig%202b.%20GLS%20backlit%20copy.xml,Fig%202b.%20GLS%20backlit%20copy.jpg,size_mismatch,xml=3264x2448 actual=852x639 (将以实际尺寸归一化)
