epoch,mean_loss
1,4.278751
2,3.125952
3,3.172264
4,3.055442
5,3.083699
6,2.978999
7,2.845686
8,2.852573
9,2.801125
10,2.726874
11,2.650293
12,2.655087
13,2.660869
14,2.624488
15,2.600731
16,2.551406
17,2.498745
18,2.465828
19,2.470781
20,2.450189
21,2.462595
22,2.392357
23,2.413901
24,2.39957
25,2.344869
26,2.341083
27,2.354973
28,2.29491
29,2.264728
30,2.287022
31,2.082497
32,1.965678
33,1.925727
34,1.939044
35,1.975376
36,1.889496
37,1.883429
38,1.908007
39,1.924426
40,1.913743
41,1.904449
42,1.90268
43,1.883621
44,1.850204
45,1.85123
46,1.860743
47,1.820302
48,1.83538
49,1.819616
50,1.822371
51,1.814862
52,1.815259
53,1.765468
54,1.771416
55,1.76304
56,1.74534
57,1.756681
58,1.70919
59,1.772358
60,1.728257
61,1.765219
62,1.692577
63,1.668312
64,1.684153
65,1.648524
66,1.698184
67,1.641134
68,1.645156
69,1.61591
70,1.689988
71,1.635975
72,1.642797
73,1.597207
74,1.632608
75,1.629563
76,1.591067
77,1.614824
78,1.561094
79,1.578384
80,1.552824
81,1.5939
82,1.570554
83,1.507278
84,1.557868
85,1.544095
86,1.53369
87,1.520828
88,1.504201
89,1.524504
90,1.510343
91,1.517398
92,1.490656
93,1.523025
94,1.502365
95,1.529902
96,1.498741
97,1.510867
98,1.55654
99,1.534295
100,1.51988
