epoch,iter,learning_rate,loss,loss_cls,loss_iou,loss_dfl,loss_l1
0,0,0.0,4.752035,3.197702,0.326138,1.477976,0.943648
0,20,0.00014,4.653035,3.244306,0.269032,1.457312,0.917975
0,40,0.000281,3.431184,2.341145,0.204515,1.149855,0.572659
1,0,0.0004,3.143781,2.125429,0.194779,1.073082,0.503151
1,20,0.00054,2.983071,2.008036,0.197344,1.03161,0.492426
1,40,0.000681,3.251003,2.097796,0.22326,1.060523,0.514992
2,0,0.0008,3.102422,2.018192,0.209017,1.15366,0.603078
2,20,0.00094,3.206789,2.005652,0.230668,1.110748,0.574053
2,40,0.001081,3.207581,2.071326,0.232498,1.129761,0.581246
3,0,0.0012,3.05319,1.861362,0.239858,1.150766,0.54375
3,20,0.00134,3.081536,1.898755,0.233304,1.151383,0.631302
3,40,0.001481,3.0316,1.897067,0.232737,1.160883,0.635292
4,0,0.0016,3.078523,1.926141,0.235915,1.10393,0.583705
4,20,0.00174,3.069175,1.865198,0.247189,1.201973,0.656342
4,40,0.001881,3.103399,1.818622,0.248759,1.239883,0.691736
5,0,0.002,2.943617,1.736853,0.248389,1.136164,0.577954
5,20,0.002,3.013524,1.878133,0.24941,1.166138,0.606034
5,40,0.002,2.979856,1.778955,0.23358,1.192907,0.637167
6,0,0.001999,2.831019,1.713979,0.22826,1.091712,0.553888
6,20,0.001999,2.881461,1.708787,0.229246,1.111378,0.552383
6,40,0.001998,2.824577,1.727438,0.2239,1.102772,0.552442
7,0,0.001998,2.8286,1.708969,0.22003,1.135692,0.591473
7,20,0.001997,2.902426,1.734426,0.215394,1.148954,0.596748
7,40,0.001996,2.826692,1.710965,0.213472,1.149143,0.58682
8,0,0.001995,2.796809,1.649498,0.234253,1.087062,0.555725
8,20,0.001994,2.870902,1.714278,0.220349,1.116264,0.544886
8,40,0.001993,2.735663,1.675374,0.208555,1.034439,0.46734
9,0,0.001991,2.73558,1.638337,0.208859,1.041824,0.489251
9,20,0.00199,2.784424,1.671024,0.216675,1.037151,0.510781
9,40,0.001988,2.660618,1.636831,0.199686,1.062819,0.494498
10,0,0.001986,2.708743,1.581304,0.22817,1.084051,0.514944
10,20,0.001984,2.702997,1.635429,0.215603,1.08102,0.538925
10,40,0.001982,2.53914,1.554677,0.193307,0.972981,0.451304
11,0,0.00198,2.679656,1.597556,0.213697,1.040152,0.496041
11,20,0.001978,2.62308,1.571773,0.196179,1.060222,0.478723
11,40,0.001976,2.662524,1.639682,0.220913,1.022688,0.468761
12,0,0.001973,2.668346,1.603338,0.21821,1.050422,0.504523
12,20,0.001971,2.649165,1.544591,0.204928,1.054641,0.514668
12,40,0.001968,2.665097,1.618867,0.203943,1.037092,0.47837
13,0,0.001965,2.665097,1.628922,0.206182,1.046697,0.451527
13,20,0.001962,2.562895,1.508948,0.194978,1.031284,0.463003
13,40,0.001959,2.645473,1.556972,0.215866,1.02672,0.489165
14,0,0.001956,2.629032,1.62188,0.205861,1.081565,0.495276
14,20,0.001953,2.602677,1.560624,0.198929,0.989068,0.44769
14,40,0.001949,2.570485,1.513188,0.211681,1.102398,0.526283
15,0,0.001946,2.591504,1.561483,0.190038,1.053385,0.476423
15,20,0.001942,2.52092,1.543333,0.193607,1.059152,0.469735
15,40,0.001938,2.541794,1.498423,0.211578,1.048161,0.498491
16,0,0.001935,2.51446,1.507103,0.191497,0.996423,0.434688
16,20,0.00193,2.500116,1.508427,0.197238,1.008315,0.452107
16,40,0.001926,2.48166,1.524353,0.190286,1.000121,0.423573
17,0,0.001922,2.527408,1.527924,0.205936,0.973676,0.446883
17,20,0.001918,2.414376,1.457315,0.184645,1.019944,0.468895
17,40,0.001913,2.455701,1.459154,0.199392,1.031002,0.462845
18,0,0.001909,2.42254,1.491859,0.169644,0.955527,0.389966
18,20,0.001904,2.451186,1.464605,0.19814,0.958202,0.392674
18,40,0.001899,2.538618,1.496939,0.200597,1.019975,0.451362
19,0,0.001895,2.431104,1.42643,0.197342,1.007529,0.437648
19,20,0.001889,2.439755,1.520614,0.189313,0.956293,0.402802
19,40,0.001884,2.479707,1.434608,0.192954,0.998257,0.454132
20,0,0.001879,2.495974,1.421373,0.205191,1.00838,0.443536
20,20,0.001874,2.420674,1.473722,0.194146,1.008719,0.448646
20,40,0.001868,2.471138,1.391679,0.203498,1.022244,0.432379
21,0,0.001863,2.370082,1.40653,0.179008,0.972534,0.410787
21,20,0.001857,2.442773,1.433532,0.191179,1.015662,0.428488
