cat,class,gt,clean_best_AP5095,clean_best_AP50,clean_best_P,clean_best_R,clean_best_F1,clean_final_AP5095,clean_final_AP50,clean_final_P,clean_final_R,clean_final_F1,exiffix_best_AP5095,exiffix_best_AP50,exiffix_best_P,exiffix_best_R,exiffix_best_F1,exiffix_final_AP5095,exiffix_final_AP50,exiffix_final_P,exiffix_final_R,exiffix_final_F1,delta_best_AP5095
1,Tomato Early blight leaf,21,0.22628454838077322,0.38774243253507523,0.42857142857142855,0.2857142857142857,0.34285714285714286,0.24815258603137574,0.4099090008032973,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.21039325303108697,0.3675562041037275,0.5,0.2857142857142857,0.36363636363636365,0.2637376808240154,0.4562502048277553,0.36363636363636365,0.38095238095238093,0.37209302325581395,-0.015891295349686252
2,Tomato Septoria leaf spot,37,0.42697177545288023,0.5833232497703899,0.48936170212765956,0.6216216216216216,0.5476190476190476,0.40241592038962143,0.5705003596554743,0.43902439024390244,0.4864864864864865,0.4615384615384615,0.460607622505516,0.6228634595787809,0.6060606060606061,0.5405405405405406,0.5714285714285714,0.391348690477571,0.5628046428360844,0.4473684210526316,0.4594594594594595,0.45333333333333337,0.03363584705263578
3,Tomato leaf,36,0.227562119430052,0.3874828259029177,0.4,0.3888888888888889,0.39436619718309857,0.2083299887057342,0.3615837855657878,0.3181818181818182,0.3888888888888889,0.35000000000000003,0.21460457374920905,0.38045905499547666,0.34375,0.3055555555555556,0.3235294117647059,0.20690444498366106,0.3759635918445601,0.3269230769230769,0.4722222222222222,0.38636363636363635,-0.012957545680842952
4,Tomato leaf bacterial spot,16,0.1634939707854688,0.2263780393968661,0.16666666666666666,0.0625,0.09090909090909091,0.14362259783119477,0.2100401628497741,0.13333333333333333,0.125,0.12903225806451615,0.2836660130330214,0.37161192552864264,0.4,0.125,0.19047619047619047,0.20720067702426057,0.2851268450000775,0.2857142857142857,0.25,0.26666666666666666,0.12017204224755262
5,Tomato leaf late blight,26,0.4468622132794976,0.6791425667791924,0.5714285714285714,0.6153846153846154,0.5925925925925927,0.46619299227874306,0.6824474908974609,0.6,0.5769230769230769,0.5882352941176471,0.37946180783646916,0.6038488365621605,0.6,0.5769230769230769,0.5882352941176471,0.3671423722443942,0.597235970513678,0.4482758620689655,0.5,0.4727272727272727,-0.06740040544302844
6,Tomato leaf mosaic virus,33,0.19199677964099157,0.2533974303759214,0.25,0.09090909090909091,0.13333333333333333,0.11635732635923209,0.15366032092820894,0.21052631578947367,0.12121212121212122,0.15384615384615385,0.23604361363019902,0.3111997061409003,0.625,0.15151515151515152,0.24390243902439024,0.20335180620036417,0.2734744858721903,0.3076923076923077,0.12121212121212122,0.17391304347826086,0.044046833989207446
7,Tomato leaf yellow virus,57,0.16063077739956425,0.33322621796787083,0.42105263157894735,0.14035087719298245,0.21052631578947367,0.1730467633867827,0.3358669968216212,0.45714285714285713,0.2807017543859649,0.3478260869565218,0.1848994351272661,0.3721728695729969,0.4375,0.12280701754385964,0.19178082191780824,0.1692711823558937,0.37133435186928065,0.5416666666666666,0.22807017543859648,0.32098765432098764,0.024268657727701842
8,Tomato mold leaf,32,0.1618360884830799,0.30181464218035825,0.5454545454545454,0.1875,0.27906976744186046,0.1730207986225887,0.3262630796618243,0.5,0.25,0.3333333333333333,0.15967952675062713,0.3092020733201521,0.42857142857142855,0.09375,0.15384615384615383,0.14920633317605714,0.2741940770919515,0.42857142857142855,0.1875,0.26086956521739124,-0.0021565617324527664
9,Apple Scab Leaf,30,0.5283994840094558,0.7824966730687514,0.7222222222222222,0.43333333333333335,0.5416666666666666,0.5300413595988253,0.7776013996307772,0.7272727272727273,0.5333333333333333,0.6153846153846153,0.4838347647428612,0.6777877809640234,0.7692307692307693,0.3333333333333333,0.4651162790697674,0.5226874164346179,0.7300332005594294,0.6153846153846154,0.26666666666666666,0.37209302325581395,-0.04456471926659461
10,Apple leaf,14,0.7683037353509107,0.9012642440714659,0.52,0.9285714285714286,0.6666666666666666,0.7762317000930863,0.932571718710333,0.65,0.9285714285714286,0.7647058823529412,0.8106001946348482,0.9640718879580262,0.5833333333333334,1.0,0.7368421052631579,0.814855610561056,0.9851485148514851,0.7368421052631579,1.0,0.8484848484848484,0.04229645928393755
11,Apple rust leaf,12,0.6334807766490935,0.740244612696564,0.4,0.5,0.4444444444444445,0.612513919759323,0.7195581973163303,0.46153846153846156,0.5,0.48000000000000004,0.6503767876787679,0.7510961810466764,0.47368421052631576,0.75,0.5806451612903226,0.6290674645833583,0.7199456093671832,0.42105263157894735,0.6666666666666666,0.5161290322580646,0.016896011029674418
12,grape leaf,14,0.6827253794753495,0.8666311015921623,0.8,0.8571428571428571,0.8275862068965518,0.6544650509827104,0.8319664055957838,0.8,0.8571428571428571,0.8275862068965518,0.7382384488448845,0.9021864686468649,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.7209844210227474,0.8783047659604668,1.0,0.7142857142857143,0.8333333333333333,0.05551306936953504
13,grape leaf black rot,22,0.4046836489865003,0.5994391572680183,0.4827586206896552,0.6363636363636364,0.5490196078431373,0.43157612024504494,0.6624336964692772,0.5555555555555556,0.6818181818181818,0.6122448979591836,0.4026410411392936,0.5714374979780437,0.4782608695652174,0.5,0.4888888888888889,0.3753269569250515,0.5858511687597941,0.5909090909090909,0.5909090909090909,0.5909090909090909,-0.0020426078472066678
