category,class_weight,A0_AP,B1_AP,dAP,A0_Recall,B1_Recall,dRecall,direction
Tomato Early blight leaf,1.104288,0.21,0.267,0.057,0.5714285714285714,0.6190476190476191,0.0476,up
Tomato Septoria leaf spot,0.558678,0.461,0.44,-0.021,0.5675675675675675,0.6486486486486487,0.0811,down
Tomato leaf,0.64229,0.215,0.246,0.031,0.4166666666666667,0.5833333333333334,0.1667,down
Tomato leaf bacterial spot,0.831865,0.284,0.159,-0.125,0.625,0.625,0.0,down
Tomato leaf late blight,1.187631,0.379,0.49,0.111,0.6923076923076923,0.7692307692307693,0.0769,up
Tomato leaf mosaic virus,0.907852,0.236,0.237,0.001,0.2727272727272727,0.42424242424242425,0.1515,down
Tomato leaf yellow virus,0.269762,0.185,0.168,-0.017,0.12280701754385964,0.15789473684210525,0.0351,down
Tomato mold leaf,0.790097,0.16,0.189,0.029,0.25,0.40625,0.1562,down
Apple Scab Leaf,1.510666,0.484,0.5,0.016,0.6,0.7666666666666667,0.1667,up
Apple leaf,0.968376,0.811,0.78,-0.031,1.0,1.0,0.0,down
Apple rust leaf,1.267337,0.65,0.601,-0.049,0.8333333333333334,0.8333333333333334,0.0,up
grape leaf,1.091522,0.738,0.713,-0.025,0.7857142857142857,0.8571428571428571,0.0714,up
grape leaf black rot,1.869636,0.403,0.47,0.067,0.5454545454545454,0.6363636363636364,0.0909,up
