category,A0_AP,B1_AP,dAP,A0_Recall,B1_Recall,dRecall
Tomato Early blight leaf,0.21,0.267,0.057,0.5714285714285714,0.6190476190476191,0.0476
Tomato Septoria leaf spot,0.461,0.44,-0.021,0.5675675675675675,0.6486486486486487,0.0811
Tomato leaf,0.215,0.246,0.031,0.4166666666666667,0.5833333333333334,0.1667
Tomato leaf bacterial spot,0.284,0.159,-0.125,0.625,0.625,0.0
Tomato leaf late blight,0.379,0.49,0.111,0.6923076923076923,0.7692307692307693,0.0769
Tomato leaf mosaic virus,0.236,0.237,0.001,0.2727272727272727,0.42424242424242425,0.1515
Tomato leaf yellow virus,0.185,0.168,-0.017,0.12280701754385964,0.15789473684210525,0.0351
Tomato mold leaf,0.16,0.189,0.029,0.25,0.40625,0.1562
Apple Scab Leaf,0.484,0.5,0.016,0.6,0.7666666666666667,0.1667
Apple leaf,0.811,0.78,-0.031,1.0,1.0,0.0
Apple rust leaf,0.65,0.601,-0.049,0.8333333333333334,0.8333333333333334,0.0
grape leaf,0.738,0.713,-0.025,0.7857142857142857,0.8571428571428571,0.0714
grape leaf black rot,0.403,0.47,0.067,0.5454545454545454,0.6363636363636364,0.0909
