GT \ Pred,Tomato Early blight leaf,Tomato Septoria leaf spot,Tomato leaf,Tomato leaf bacterial spot,Tomato leaf late blight,Tomato leaf mosaic virus,Tomato leaf yellow virus,Tomato mold leaf,Apple Scab Leaf,Apple leaf,Apple rust leaf,grape leaf,grape leaf black rot,FN
Tomato Early blight leaf,4,1,0,0,1,0,0,1,0,0,0,0,0,14
Tomato Septoria leaf spot,1,41,0,1,0,0,0,0,0,0,0,0,0,12
Tomato leaf,0,0,21,0,0,0,0,0,0,0,0,0,0,45
Tomato leaf bacterial spot,2,3,0,4,0,0,0,0,0,0,0,0,1,25
Tomato leaf late blight,0,2,0,0,21,0,0,2,0,0,0,0,0,9
Tomato leaf mosaic virus,0,0,1,1,0,3,1,0,1,0,0,0,0,13
Tomato leaf yellow virus,0,0,4,0,0,0,17,0,0,0,0,0,0,46
Tomato mold leaf,2,0,0,0,0,0,0,5,0,0,0,0,0,13
Apple Scab Leaf,0,0,0,0,1,0,0,0,11,0,0,0,0,4
Apple leaf,0,0,0,0,0,0,0,0,0,25,0,0,0,8
Apple rust leaf,0,0,0,0,0,0,0,0,3,0,7,0,1,6
grape leaf,0,0,0,0,0,0,0,0,0,0,0,16,0,13
grape leaf black rot,0,0,0,0,0,0,0,0,0,0,0,0,7,3
FP,0,9,5,1,6,2,14,0,2,7,2,3,2,212
