GT \ Pred,Tomato Early blight leaf,Tomato Septoria leaf spot,Tomato leaf,Tomato leaf bacterial spot,Tomato leaf late blight,Tomato leaf mosaic virus,Tomato leaf yellow virus,Tomato mold leaf,Apple Scab Leaf,Apple leaf,Apple rust leaf,grape leaf,grape leaf black rot,FN
Tomato Early blight leaf,6,1,0,2,0,0,0,1,0,0,0,0,0,11
Tomato Septoria leaf spot,2,43,0,2,0,0,0,0,0,0,1,0,0,7
Tomato leaf,0,0,29,0,0,2,0,0,0,1,0,0,0,34
Tomato leaf bacterial spot,3,4,2,5,0,0,0,0,0,0,0,0,1,20
Tomato leaf late blight,2,0,0,1,17,0,0,5,0,0,0,0,0,9
Tomato leaf mosaic virus,0,0,1,0,0,3,1,2,0,0,0,0,0,13
Tomato leaf yellow virus,0,0,5,0,0,1,24,0,0,0,0,0,0,37
Tomato mold leaf,1,0,0,2,0,0,0,6,0,0,0,0,0,11
Apple Scab Leaf,0,0,0,0,1,0,0,0,12,0,2,0,0,1
Apple leaf,0,0,0,0,0,0,0,0,0,26,0,0,0,7
Apple rust leaf,0,0,0,0,0,0,0,0,1,0,10,0,0,6
grape leaf,0,0,1,0,0,0,0,0,0,0,0,15,0,13
grape leaf black rot,0,1,0,0,0,0,0,0,0,0,0,0,7,2
FP,0,10,14,6,6,2,21,2,3,3,3,3,2,252
