category,A0_AP,D1_AP,dAP,A0_Recall,D1_Recall,dRecall,GT
Tomato Early blight leaf,0.2104,0.2752,0.0648,0.5714,0.5238,-0.0476,21
Tomato Septoria leaf spot,0.4606,0.4373,-0.0233,0.5676,0.5946,0.027,37
Tomato leaf,0.2146,0.2342,0.0196,0.4167,0.5556,0.1389,36
Tomato leaf bacterial spot,0.2837,0.2333,-0.0504,0.625,0.8125,0.1875,16
Tomato leaf late blight,0.3795,0.4155,0.036,0.6923,0.6538,-0.0385,26
Tomato leaf mosaic virus,0.236,0.2614,0.0254,0.2727,0.3939,0.1212,33
Tomato leaf yellow virus,0.1849,0.2249,0.04,0.1228,0.3158,0.193,57
Tomato mold leaf,0.1597,0.1566,-0.0031,0.25,0.3438,0.0938,32
Apple Scab Leaf,0.4838,0.442,-0.0418,0.6,0.6,0.0,30
Apple leaf,0.8106,0.7466,-0.064,1.0,0.9286,-0.0714,14
Apple rust leaf,0.6504,0.6971,0.0467,0.8333,1.0,0.1667,12
grape leaf,0.7382,0.7009,-0.0374,0.7857,0.8571,0.0714,14
grape leaf black rot,0.4026,0.4538,0.0512,0.5455,0.7727,0.2273,22
