category,A0_AP,D2_AP,dAP,A0_Recall,D2_Recall,dRecall,GT
Tomato Early blight leaf,0.2104,0.2128,0.0024,0.5714,0.5714,0.0,21
Tomato Septoria leaf spot,0.4606,0.4709,0.0103,0.5676,0.6757,0.1081,37
Tomato leaf,0.2146,0.2156,0.001,0.4167,0.4722,0.0556,36
Tomato leaf bacterial spot,0.2837,0.2723,-0.0113,0.625,0.625,0.0,16
Tomato leaf late blight,0.3795,0.3774,-0.0021,0.6923,0.6923,0.0,26
Tomato leaf mosaic virus,0.236,0.2257,-0.0103,0.2727,0.3636,0.0909,33
Tomato leaf yellow virus,0.1849,0.1993,0.0144,0.1228,0.3333,0.2105,57
Tomato mold leaf,0.1597,0.1539,-0.0057,0.25,0.2812,0.0312,32
Apple Scab Leaf,0.4838,0.4865,0.0026,0.6,0.6333,0.0333,30
Apple leaf,0.8106,0.8106,0.0,1.0,1.0,0.0,14
Apple rust leaf,0.6504,0.6497,-0.0007,0.8333,0.8333,0.0,12
grape leaf,0.7382,0.7384,0.0002,0.7857,0.7857,0.0,14
grape leaf black rot,0.4026,0.3977,-0.0049,0.5455,0.5455,0.0,22
