name,alpha,straggler,tau,lam,min_agg,use_rescore,relabeled,rescored,mAP,mAP50,recall,dMAP,dRec
relabel a=0.5 s=0.2,0.5,0.2,0.2,0.1,0.8,False,55,0,0.5927,0.7976,0.6983,0.0002,0.0
relabel a=0.5 s=0.3,0.5,0.3,0.2,0.1,0.8,False,165,0,0.5934,0.7985,0.6983,0.0008,0.0
relabel a=0.5 s=0.5,0.5,0.5,0.2,0.1,0.8,False,446,0,0.5927,0.7981,0.6983,0.0002,0.0
relabel a=0.6 s=0.2,0.6,0.2,0.2,0.1,0.8,False,42,0,0.5927,0.7976,0.6983,0.0002,0.0
relabel a=0.6 s=0.3,0.6,0.3,0.2,0.1,0.8,False,119,0,0.5933,0.7984,0.6983,0.0008,0.0
relabel a=0.6 s=0.5,0.6,0.5,0.2,0.1,0.8,False,236,0,0.593,0.7982,0.6983,0.0005,0.0
relabel a=0.7 s=0.2,0.7,0.2,0.2,0.1,0.8,False,24,0,0.5927,0.7975,0.6983,0.0002,0.0
relabel a=0.7 s=0.3,0.7,0.3,0.2,0.1,0.8,False,80,0,0.5931,0.7982,0.6983,0.0006,0.0
relabel a=0.7 s=0.5,0.7,0.5,0.2,0.1,0.8,False,88,0,0.5931,0.7982,0.6983,0.0006,0.0
relabel a=0.8 s=0.2,0.8,0.2,0.2,0.1,0.8,False,13,0,0.5927,0.7975,0.6983,0.0002,0.0
relabel a=0.8 s=0.3,0.8,0.3,0.2,0.1,0.8,False,13,0,0.5927,0.7975,0.6983,0.0002,0.0
relabel a=0.8 s=0.5,0.8,0.5,0.2,0.1,0.8,False,13,0,0.5927,0.7975,0.6983,0.0002,0.0
rescore t=0.15 l=0.05 m=0.5,0.6,0.3,0.15,0.05,0.5,True,119,2832,0.5943,0.8013,0.7639,0.0018,0.0656
rescore t=0.15 l=0.05 m=0.8,0.6,0.3,0.15,0.05,0.8,True,119,2469,0.5948,0.8017,0.7567,0.0023,0.0585
rescore t=0.15 l=0.1 m=0.5,0.6,0.3,0.15,0.1,0.5,True,119,2832,0.5918,0.7991,0.8165,-0.0007,0.1182
rescore t=0.15 l=0.1 m=0.8,0.6,0.3,0.15,0.1,0.8,True,119,2469,0.5934,0.8008,0.8058,0.0009,0.1075
rescore t=0.2 l=0.05 m=0.5,0.6,0.3,0.2,0.05,0.5,True,119,3274,0.5941,0.8009,0.7694,0.0015,0.0711
rescore t=0.2 l=0.05 m=0.8,0.6,0.3,0.2,0.05,0.8,True,119,2986,0.5946,0.8017,0.7655,0.0021,0.0672
rescore t=0.2 l=0.1 m=0.5,0.6,0.3,0.2,0.1,0.5,True,119,3274,0.5911,0.798,0.8269,-0.0014,0.1286
rescore t=0.2 l=0.1 m=0.8,0.6,0.3,0.2,0.1,0.8,True,119,2986,0.5926,0.8001,0.8217,0.0001,0.1234
rescore t=0.25 l=0.05 m=0.5,0.6,0.3,0.25,0.05,0.5,True,119,3576,0.5934,0.8,0.7727,0.0008,0.0744
rescore t=0.25 l=0.05 m=0.8,0.6,0.3,0.25,0.05,0.8,True,119,3349,0.5937,0.8004,0.7701,0.0012,0.0718
rescore t=0.25 l=0.1 m=0.5,0.6,0.3,0.25,0.1,0.5,True,119,3576,0.5901,0.7965,0.8324,-0.0024,0.1341
rescore t=0.25 l=0.1 m=0.8,0.6,0.3,0.25,0.1,0.8,True,119,3349,0.5905,0.7971,0.8288,-0.002,0.1306
