demo_id,crop,crop_cn,scene_label,scenario,file_name,gt_count,gt_classes,source_path
tomato_01_early_blight,tomato,番茄,番茄病害检测,single,TRAIN_000029_early-blight-of-tomato-tomato-1.jpg,1,Tomato Early blight leaf,D:\Fruit\AIC2026_AgriVision\dataset\processed_detection_exiffix\images\val\TRAIN_000029_early-blight-of-tomato-tomato-1.jpg
tomato_02_septoria,tomato,番茄,番茄病害检测,multi,TRAIN_000037_Tomato+Problems+Septoria+Leaf+Spot.jpg,3,Tomato Septoria leaf spot,D:\Fruit\AIC2026_AgriVision\dataset\processed_detection_exiffix\images\val\TRAIN_000037_Tomato+Problems+Septoria+Leaf+Spot.jpg
tomato_03_septoria,tomato,番茄,番茄病害检测,single,TRAIN_000040_Septoria_leaf_spot_tomato.jpg,1,Tomato Septoria leaf spot,D:\Fruit\AIC2026_AgriVision\dataset\processed_detection_exiffix\images\val\TRAIN_000040_Septoria_leaf_spot_tomato.jpg
tomato_04_mosaic_dense,tomato,番茄,番茄病害检测（密集）,dense,TEST_000079_9511.img.jpg,12,Tomato leaf mosaic virus,D:\Fruit\AIC2026_AgriVision\dataset\processed_detection_exiffix\images\val\TEST_000079_9511.img.jpg
tomato_05_yellow_virus,tomato,番茄,番茄病害检测,multi,TEST_000088_tylcv-seminar-1-638.jpg,5,Tomato leaf yellow virus,D:\Fruit\AIC2026_AgriVision\dataset\processed_detection_exiffix\images\val\TEST_000088_tylcv-seminar-1-638.jpg
tomato_06_mold,tomato,番茄,番茄病害检测,multi,TEST_000099_fungus-univ-of-minnesoeta.jpg,4,Tomato mold leaf,D:\Fruit\AIC2026_AgriVision\dataset\processed_detection_exiffix\images\val\TEST_000099_fungus-univ-of-minnesoeta.jpg
tomato_07_bacterial_spot,tomato,番茄,番茄病害检测,single,TRAIN_000057_bacterial-spot-of-tomato-7-638.jpg,1,Tomato leaf bacterial spot,D:\Fruit\AIC2026_AgriVision\dataset\processed_detection_exiffix\images\val\TRAIN_000057_bacterial-spot-of-tomato-7-638.jpg
tomato_08_late_blight,tomato,番茄,番茄病害检测,multi,TRAIN_000069_IMG_5360.jpg,2,Tomato leaf late blight,D:\Fruit\AIC2026_AgriVision\dataset\processed_detection_exiffix\images\val\TRAIN_000069_IMG_5360.jpg
apple_01_scab,apple,苹果,苹果叶部病害检测,multi,TRAIN_000004_apple_scab.jpg,6,Apple Scab Leaf,D:\Fruit\AIC2026_AgriVision\dataset\processed_detection_exiffix\images\val\TRAIN_000004_apple_scab.jpg
apple_02_rust,apple,苹果,苹果叶部病害检测,single,TEST_000018_0605_Rust-induced_leafspot.jpg,1,Apple rust leaf,D:\Fruit\AIC2026_AgriVision\dataset\processed_detection_exiffix\images\val\TEST_000018_0605_Rust-induced_leafspot.jpg
apple_03_rust,apple,苹果,苹果叶部病害检测,single,TRAIN_000020_PLPATH-FRU-02-cedar-apple-rust-figure-1.jpg,1,Apple rust leaf,D:\Fruit\AIC2026_AgriVision\dataset\processed_detection_exiffix\images\val\TRAIN_000020_PLPATH-FRU-02-cedar-apple-rust-figure-1.jpg
apple_04_healthy_leaf,apple,苹果,苹果叶部病害检测,single,TRAIN_000014_stock-photo-green-apple-leaf-clipping-path-258728936.jpg,1,Apple leaf,D:\Fruit\AIC2026_AgriVision\dataset\processed_detection_exiffix\images\val\TRAIN_000014_stock-photo-green-apple-leaf-clipping-path-258728936.jpg
grape_01_healthy_leaf,grape,葡萄,葡萄叶部病害检测,single,TEST_000106_depositphotos_3443387-stock-photo-the-green-grape-leaf-on.jpg,1,grape leaf,D:\Fruit\AIC2026_AgriVision\dataset\processed_detection_exiffix\images\val\TEST_000106_depositphotos_3443387-stock-photo-the-green-grape-leaf-on.jpg
grape_02_black_rot,grape,葡萄,葡萄叶部病害检测,single,TEST_000108_5-29black-rot-chardRR.jpg,1,grape leaf black rot,D:\Fruit\AIC2026_AgriVision\dataset\processed_detection_exiffix\images\val\TEST_000108_5-29black-rot-chardRR.jpg
grape_03_black_rot,grape,葡萄,葡萄叶部病害检测,single,TEST_000112_Black%20rot%20on%20foliage.jpg,1,grape leaf black rot,D:\Fruit\AIC2026_AgriVision\dataset\processed_detection_exiffix\images\val\TEST_000112_Black%20rot%20on%20foliage.jpg
